representation,horizon,feature,ic_mean,ic_std,icir,n_days,n_eff,t_stat,p_value
base,5,momentum__willr_long_acceleration,-0.001729551452879899,0.13758622551446975,-0.012570673019138856,2551,510.2,-0.28394142466823097,0.776570688180937
base,5,momentum__cci_long_acceleration,0.0015118929626769674,0.13642998537438986,0.011081823094300312,2551,510.2,0.25031186735397953,0.8024471394685126
base,5,trend__adx,-0.0012340614414155433,0.11450818370960283,-0.010777058909127148,2551,510.2,-0.24342797364405871,0.8077719113269178
base,5,candle__body_size,-0.0009489572649648178,0.10208102265219961,-0.009296118321600396,2551,510.2,-0.20997706933438964,0.8337695580823075
base,5,momentum__cmf_long_acceleration,-0.00022089562425075323,0.12180297305471115,-0.0018135487066603202,2551,510.2,-0.04096372586339333,0.9673408705318152
base,10,trend__rel_26,-0.020868558605170152,0.15616792951977296,-0.13362896382978498,2551,255.1,-2.1343017976434417,0.033775496640536744
base,10,trend__acceleration_52/104,-0.020238679311153092,0.15462757276735403,-0.13088661322779305,2551,255.1,-2.0905013845304925,0.03756668103761256
base,10,volume__price_zvel26_52,-0.017677768885926808,0.1363578862556197,-0.1296424385223136,2551,255.1,-2.0706296124656447,0.0394034081942917
base,10,volume__obv_zvel26_52,-0.01436650972331691,0.11316646940694355,-0.12695023356834903,2551,255.1,-2.0276301181330365,0.043641662093607134
base,10,trend__velocity_12/26,-0.019579264967944928,0.1549510768410775,-0.1263577212052938,2551,255.1,-2.0181665994066202,0.04462474083417068
base,10,volume__ad_zvel12_26,-0.013772121774049254,0.10976158728766994,-0.1254730558693036,2551,255.1,-2.00403685715013,0.04612748998176382
base,10,trend__rel_12,-0.01932203968988672,0.15750043080623546,-0.12267928151674463,2551,255.1,-1.959415111594488,0.05115747598430445
