ticker,shift,sector,cap_bucket,market_cap
PAA,0,Energy,large,15420000000.0
PAG,0,Consumer Cyclical,large,11980000000.0
PAGP,0,Energy,mid,5540000000.0
PANW,0,Technology,large,247920000000.0
PARR,0,Energy,mid,2740000000.0
PAYC,0,Technology,mid,6020000000.0
PAYS,0,Technology,small,456750000.0
PBH,0,Healthcare,small,2340000000.0
PBYI,0,Healthcare,small,412790000.0
PCAR,0,Industrials,large,63510000000.0
PCG,0,Utilities,large,38270000000.0
PCTY,0,Technology,mid,5690000000.0
PDFS,0,Technology,mid,2640000000.0
PEB,0,Real Estate,small,2180000000.0
PFBC,0,Financial Services,small,1240000000.0
PFG,0,Financial Services,large,23280000000.0
PFGC,0,Consumer Defensive,large,17350000000.0
PFIS,0,Financial Services,small,671030000.0
PFLT,0,Financial Services,small,734210000.0
PGC,0,Financial Services,small,840060000.0
PGEN,0,Healthcare,small,2089999999.9999998
PHG,0,Healthcare,large,25940000000.0
PII,0,Consumer Cyclical,mid,4130000000.0
PIPR,0,Financial Services,mid,5410000000.0
PJT,0,Financial Services,mid,6180000000.0
PKE,0,Industrials,small,707340000.0
PKG,0,Consumer Cyclical,large,21390000000.0
PLAB,0,Technology,small,1810000000.0
PLAY,0,Communication Services,small,411200000.0
PLD,0,Real Estate,large,133389999999.99998
PLOW,0,Consumer Cyclical,small,1250000000.0
PLPC,0,Industrials,small,1930000000.0
PLSE,0,Healthcare,small,1970000000.0
PLUS,0,Technology,small,2069999999.9999998
PLXS,0,Technology,mid,7690000000.0
PNC,0,Financial Services,large,98380000000.0
PNR,0,Industrials,large,12350000000.0
PODD,0,Healthcare,mid,10960000000.0
POOL,0,Industrials,mid,7710000000.0
POWL,0,Industrials,mid,10190000000.0
PRGS,0,Technology,small,1390000000.0
PRK,0,Financial Services,mid,3330000000.0
PRKS,0,Consumer Cyclical,small,2220000000.0
PRLB,0,Industrials,small,1920000000.0
PRTA,0,Healthcare,small,524580000.00000006
PRU,0,Financial Services,large,37600000000.0
PSKY,0,Communication Services,mid,10790000000.0
PTC,0,Technology,large,13370000000.0
PUK,0,Financial Services,large,33189999999.999996
PZZA,0,Consumer Cyclical,small,1210000000.0
QCRH,0,Financial Services,small,1620000000.0
QGEN,1,Healthcare,mid,8150000000.0
QRVO,0,Technology,mid,8260000000.0
QSR,0,Consumer Cyclical,large,33920000000.0
QUIK,0,Technology,small,337710000.0
QURE,0,Healthcare,mid,3270000000.0
R,0,Industrials,mid,10100000000.0
RACE,0,Consumer Cyclical,large,64680000000.00001
RBB,0,Financial Services,small,458120000.0
RBBN,0,Technology,small,387510000.0
RBCAA,0,Financial Services,small,1750000000.0
RCI,0,Communication Services,large,19100000000.0
RCKT,0,Healthcare,small,354880000.0
RCKY,0,Consumer Cyclical,small,311310000.0
